source,target,weight,total_votes_agreed,total_votes_shared,source_party,target_party,period,topic
Alex Ahrendtsen,Mette Bock,0.5970149253731343,40,67,Dansk Folkeparti,Liberal Alliance,68,klima
Alex Ahrendtsen,Thomas Danielsen,0.68,51,75,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Lars Løkke Rasmussen,0.75,3,4,Dansk Folkeparti,Moderaterne,68,klima
Alex Ahrendtsen,Johanne Schmidt-Nielsen,0.4745762711864407,28,59,Dansk Folkeparti,Enhedslisten,68,klima
Alex Ahrendtsen,Anders Samuelsen,0.6451612903225806,20,31,Dansk Folkeparti,Liberal Alliance,68,klima
Alex Ahrendtsen,Lone Loklindt,0.475,38,80,Dansk Folkeparti,Radikale Venstre,68,klima
Alex Ahrendtsen,Eigil Andersen,0.547945205479452,40,73,Dansk Folkeparti,Socialistisk Folkeparti,68,klima
Alex Ahrendtsen,Jan Johansen,0.5714285714285714,40,70,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Liv Holm Andersen,0.5113636363636364,45,88,Dansk Folkeparti,Radikale Venstre,68,klima
Alex Ahrendtsen,Karina Adsbøl,1.0,75,75,Dansk Folkeparti,Danmarksdemokraterne,68,klima
Alex Ahrendtsen,Nicolai Wammen,0.2,1,5,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Christine Antorini,0.46511627906976744,20,43,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Holger K. Nielsen,0.6226415094339622,33,53,Dansk Folkeparti,Socialistisk Folkeparti,68,klima
Alex Ahrendtsen,Henning Hyllested,0.4383561643835616,32,73,Dansk Folkeparti,Enhedslisten,68,klima
Alex Ahrendtsen,Karen Hækkerup (udpeget af S),0.4,12,30,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Karin Nødgaard,1.0,63,63,Dansk Folkeparti,Dansk Folkeparti,68,klima
