vote_id,vote_typeid,afstemning_id,aktørid,afstemning_nummer,afstemning_vedtaget,Period,primary_topic,all_topics,møde_dato,møde_year_month,politician,party
1484476,1,5986,680,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Morten Helveg Petersen,Radikale Venstre
1484430,3,5986,1745,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Ulrik Kragh,Venstre
1484473,2,5986,1829,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Thor Pedersen,Venstre
1484447,1,5986,384,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Mogens Lykketoft,Socialdemokratiet
1484443,3,5986,1814,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Gudrun Laub,Venstre
1484441,3,5986,386,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Claus Larsen-Jensen (udpeget af),Socialdemokratiet
1484438,1,5986,28,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Henrik Sass Larsen,Socialdemokratiet
1484437,2,5986,64,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Flemming Damgaard Larsen,Venstre
1484434,2,5986,677,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Jesper Langballe,Dansk Folkeparti
1484432,2,5986,1431,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Pia Kristensen,Dansk Folkeparti
1484453,1,5986,1880,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Anne-Marie Meldgaard,Socialdemokratiet
1484472,1,5986,1219,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Mogens Nørgård,Kristendemokraterne
1484470,1,5986,666,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Jørn Pedersen,Socialdemokratiet
1484469,2,5986,1753,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Flemming Oppfeldt,Venstre
