metadata_vote_id,vote_type,voting_id,aktør_id,metadata_opdateringsdato
1021826,3,1328,144,2021-01-28T20:20:47.23
1021827,3,1328,379,2021-01-28T20:20:47.26
1021828,3,1328,106,2021-01-28T20:20:47.287
1021829,3,1328,116,2021-01-28T20:20:47.307
1021830,3,1328,5,2021-01-28T20:20:47.333
1021831,3,1328,270,2021-01-28T20:20:47.383
1021832,3,1328,350,2021-01-28T20:20:47.41
1021833,3,1328,129,2021-01-28T20:20:47.46
1021834,3,1328,153,2021-01-28T20:20:47.513
1021835,3,1328,149,2021-01-28T20:20:47.55
1021836,3,1328,145,2021-01-28T20:20:47.573
1021837,3,1328,364,2021-01-28T20:20:47.61
1021838,3,1328,132,2021-01-28T20:20:47.647
1021839,3,1328,223,2021-01-28T20:20:47.67
1021840,3,1328,72,2021-01-28T20:20:47.713
1023631,1,1329,221,2018-01-25T16:58:07.573
1023632,1,1329,126,2018-01-25T16:58:07.573
1023633,2,1329,258,2018-01-25T16:58:07.573
1023634,2,1329,351,2018-01-25T16:58:07.573
1023635,2,1329,152,2018-01-25T16:58:07.573
1023636,2,1329,856,2018-01-25T16:58:07.573
1023637,1,1329,71,2018-01-25T16:58:07.573
1023638,1,1329,50,2018-01-25T16:58:07.573
1023639,1,1329,49,2018-01-25T16:58:07.573
1023640,2,1329,1502,2018-01-25T16:58:07.573
1023641,1,1329,1755,2018-01-25T16:58:07.573
1023642,1,1329,3082,2018-01-25T16:58:07.573
1023643,1,1329,183,2018-01-25T16:58:07.573
1023644,2,1329,85,2018-01-25T16:58:07.573
1023645,1,1329,303,2018-01-25T16:58:07.573
1023646,2,1329,678,2018-01-25T16:58:07.573
1023647,1,1329,1454,2018-01-25T16:58:07.573
1023648,1,1329,173,2018-01-25T16:58:07.573
1023649,2,1329,260,2018-01-25T16:58:07.573
1023650,2,1329,154,2018-01-25T16:58:07.573
1023651,1,1329,180,2018-01-25T16:58:07.573
1023652,2,1329,201,2018-01-25T16:58:07.573
1023653,1,1329,362,2018-01-25T16:58:07.573
1023654,1,1329,1844,2018-01-25T16:58:07.573
1023655,1,1329,1882,2018-01-25T16:58:07.573
1023656,1,1329,252,2018-01-25T16:58:07.573
1023657,2,1329,280,2018-01-25T16:58:07.573
1023658,1,1329,1777,2018-01-25T16:58:07.573
1023659,2,1329,235,2018-01-25T16:58:07.573
1023660,2,1329,38,2018-01-25T16:58:07.573
1023661,1,1329,676,2018-01-25T16:58:07.573
1023662,1,1329,64,2018-01-25T16:58:07.573
1023663,2,1329,28,2018-01-25T16:58:07.573
1023664,1,1329,24,2018-01-25T16:58:07.573
1023665,2,1329,257,2018-01-25T16:58:07.573
1023666,1,1329,4957,2018-01-25T16:58:07.573
1023667,2,1329,651,2018-01-25T16:58:07.573
1023668,1,1329,130,2018-01-25T16:58:07.573
1023669,1,1329,1410,2018-01-25T16:58:07.573
1023670,2,1329,1880,2018-01-25T16:58:07.573
1023671,2,1329,3085,2018-01-25T16:58:07.573
1023672,1,1329,1951,2018-01-25T16:58:07.573
1023673,2,1329,1023,2018-01-25T16:58:07.573
1023674,2,1329,33,2018-01-25T16:58:07.573
1023675,1,1329,193,2018-01-25T16:58:07.573
1023676,1,1329,56,2018-01-25T16:58:07.573
1023677,1,1329,163,2018-01-25T16:58:07.573
1023678,2,1329,297,2018-01-25T16:58:07.573
1023679,2,1329,47,2018-01-25T16:58:07.573
1023680,2,1329,273,2018-01-25T16:58:07.573
1023681,2,1329,1883,2018-01-25T16:58:07.573
1023682,1,1329,2103,2018-01-25T16:58:07.573
1023683,2,1329,244,2018-01-25T16:58:07.573
1023684,2,1329,288,2018-01-25T16:58:07.573
1023685,1,1329,265,2018-01-25T16:58:07.573
1023686,2,1329,663,2018-01-25T16:58:07.573
1023687,2,1329,3092,2018-01-25T16:58:07.573
1023688,2,1329,197,2018-01-25T16:58:07.573
1023689,2,1329,1385,2018-01-25T16:58:07.573
1023690,1,1329,34,2018-01-25T16:58:07.573
1023691,2,1329,120,2018-01-25T16:58:07.573
1023692,2,1329,43,2018-01-25T16:58:07.573
1023693,1,1329,216,2018-01-25T16:58:07.573
1023694,2,1329,121,2018-01-25T16:58:07.573
1023695,2,1329,184,2018-01-25T16:58:07.573
1023696,1,1329,1371,2018-01-25T16:58:07.573
1023697,2,1329,3088,2018-01-25T16:58:07.573
1023698,2,1329,171,2018-01-25T16:58:07.573
1023699,1,1329,155,2018-01-25T16:58:07.573
1023700,1,1329,3084,2018-01-25T16:58:07.573
1023701,1,1329,98,2018-01-25T16:58:07.573
1023702,1,1329,648,2018-01-25T16:58:07.573
1023703,2,1329,133,2018-01-25T16:58:07.573
1023704,1,1329,1829,2018-01-25T16:58:07.573
1023705,2,1329,671,2018-01-25T16:58:07.573
1023706,1,1329,3090,2018-01-25T16:58:07.573
1023707,1,1329,4956,2018-01-25T16:58:07.573
1023708,2,1329,1744,2018-01-25T16:58:07.573
1023709,2,1329,1358,2018-01-25T16:58:07.573
1023710,1,1329,725,2018-01-25T16:58:07.573
1023711,1,1329,81,2018-01-25T16:58:07.573
1023712,1,1329,1357,2018-01-25T16:58:07.573
1023713,1,1329,1299,2018-01-25T16:58:07.573
1023714,1,1329,82,2018-01-25T16:58:07.573
1023715,2,1329,187,2018-01-25T16:58:07.573
1023716,1,1329,48,2018-01-25T16:58:07.573
1023717,1,1329,179,2018-01-25T16:58:07.573
1023718,2,1329,379,2018-01-25T16:58:07.573
1023719,1,1329,296,2018-01-25T16:58:07.573
1023720,1,1329,212,2018-01-25T16:58:07.573
1023721,2,1329,106,2018-01-25T16:58:07.573
1023722,2,1329,116,2018-01-25T16:58:07.573
1023723,1,1329,1090,2018-01-25T16:58:07.573
1023724,1,1329,206,2018-01-25T16:58:07.573
1023725,1,1329,129,2018-01-25T16:58:07.573
1023726,1,1329,125,2018-01-25T16:58:07.573
1023727,1,1329,182,2018-01-25T16:58:07.573
1023728,1,1329,149,2018-01-25T16:58:07.573
1023729,2,1329,10707,2018-01-25T16:58:07.573
1023730,1,1329,1757,2018-01-25T16:58:07.573
1023731,2,1329,1413,2018-01-25T16:58:07.573
1023732,2,1329,1162,2018-01-25T16:58:07.573
1023733,2,1329,650,2018-01-25T16:58:07.573
1023734,2,1329,11412,2018-01-25T16:58:07.573
1023735,1,1329,11585,2018-01-25T16:58:07.573
1023736,1,1329,11584,2018-01-25T16:58:07.573
1023737,3,1329,1619,2021-01-28T20:27:41.903
1023738,3,1329,117,2021-01-28T20:27:41.947
1023739,3,1329,5182,2021-01-28T20:27:41.967
1023740,3,1329,158,2021-01-28T20:27:41.983
1023741,3,1329,17,2021-01-28T20:27:42
1023742,3,1329,195,2021-01-28T20:27:42.027
1023743,3,1329,1455,2021-01-28T20:27:42.05
1023744,3,1329,220,2021-01-28T20:27:42.07
1023745,3,1329,198,2021-01-28T20:27:42.09
1023746,3,1329,1325,2021-01-28T20:27:42.11
1023747,3,1329,94,2021-01-28T20:27:42.13
1023748,3,1329,124,2021-01-28T20:27:42.15
1023749,3,1329,664,2021-01-28T20:27:42.177
1023750,3,1329,205,2021-01-28T20:27:42.193
1023751,3,1329,77,2021-01-28T20:27:42.22
1023752,3,1329,211,2021-01-28T20:27:42.24
1023753,3,1329,654,2021-01-28T20:27:42.257
1023754,3,1329,138,2021-01-28T20:27:42.277
1023755,3,1329,95,2021-01-28T20:27:42.3
1023756,3,1329,92,2021-01-28T20:27:42.32
1023757,3,1329,1146,2021-01-28T20:27:42.34
1023758,3,1329,246,2021-01-28T20:27:42.357
1023759,3,1329,6689,2021-01-28T20:27:42.383
1023760,3,1329,70,2021-01-28T20:27:42.4
1023761,3,1329,1833,2021-01-28T20:27:42.423
1023762,3,1329,67,2021-01-28T20:27:42.44
1023763,3,1329,272,2021-01-28T20:27:42.457
1023764,3,1329,199,2021-01-28T20:27:42.473
1023765,3,1329,11586,2021-01-28T20:27:42.487
1023766,3,1329,55,2021-01-28T20:27:42.503
1023767,3,1329,271,2021-01-28T20:27:42.523
1023768,3,1329,178,2021-01-28T20:27:42.537
1023769,3,1329,365,2021-01-28T20:27:42.553
1023770,3,1329,247,2021-01-28T20:27:42.567
1023771,3,1329,670,2021-01-28T20:27:42.583
1023772,3,1329,210,2021-01-28T20:27:42.597
