aktørid,aktør,party,block,relation_start,relation_end
376,Annika Smith,Socialistisk Folkeparti,1,2013-11-26,
378,Merete Dea Larsen,Dansk Folkeparti,1,2011-10-27,2018-10-01
379,Kristen Touborg,Socialistisk Folkeparti,1,1994-10-04,2013-10-22
384,Mogens Lykketoft,Socialdemokratiet,1,1987-09-08,2016-09-30
386,Claus Larsen-Jensen (udpeget af),Socialdemokratiet,1,1998-10-06,2017-10-08
645,Christian Mejdahl,"Venstre, Danmarks Liberale Parti",1,1987-10-06,2003-10-06
646,Jens Hald,"Venstre, Danmarks Liberale Parti",1,1994-09-21,2003-10-06
647,Charlotte Antonsen (udpeget af V),"Venstre, Danmarks Liberale Parti",1,1991-10-01,2003-10-06
648,Carina Christensen,Det Konservative Folkeparti,1,2002-10-01,2010-10-04
649,Jakob Axel Nielsen,Det Konservative Folkeparti,1,2007-11-13,2010-10-04
650,Hüseyin Arac,Socialdemokratiet,1,2010-10-26,
651,Jens Christian Lund,Socialdemokratiet,1,2007-11-13,2010-10-04
652,Lene Jensen,Socialdemokratiet,1,2002-10-01,2003-10-06
653,Lise von Seelen,Socialdemokratiet,1,2007-11-13,2010-10-04
654,Lone Dybkjær,Det Radikale Venstre,1,1974-10-01,2010-10-04
654,Lone Dybkjær,Radikale Venstre,2,2010-10-05,2011-04-15
655,Rune Lund,Enhedslisten,1,2007-10-13,2021-10-04
656,Jesper Kiel,Enhedslisten,1,2005-01-13,2017-11-29
657,Pia Larsen,"Venstre, Danmarks Liberale Parti",1,1991-10-01,2003-10-06
660,Svend Erik Hovmand,"Venstre, Danmarks Liberale Parti",1,1976-10-05,2003-10-06
661,Jens Rohde,Kristendemokraterne,4,2021-04-27,2022-08-25
661,Jens Rohde,Radikale Venstre,2,2019-06-05,2021-01-26
661,Jens Rohde,Uden for folketingsgrupperne - Jens Rohde,3,2021-01-27,2021-04-26
661,Jens Rohde,Uden for folketingsgrupperne - Jens Rohde,5,2022-08-26,2022-10-03
661,Jens Rohde,"Venstre, Danmarks Liberale Parti",1,1998-10-06,2019-06-04
662,Poul Nødgaard,Dansk Folkeparti,2,1995-10-06,2005-02-07
662,Poul Nødgaard,Fremskridtspartiet,1,1991-10-01,1995-10-05
663,Christian H. Hansen,Dansk Folkeparti,1,1998-10-06,2010-01-31
663,Christian H. Hansen,Uden for folketingsgrupperne - Christian H. Hansen,2,2010-02-01,2010-10-04
664,Pia Christmas-Møller,Det Konservative Folkeparti,1,1988-05-10,2007-12-04
664,Pia Christmas-Møller,Uden for folketingsgrupperne - Pia Christmas-Møller,2,2007-12-05,2010-10-04
665,Helge Adam Møller,Det Konservative Folkeparti,1,1987-09-08,2010-10-04
666,Jørn Pedersen,Socialdemokratiet,1,1991-10-01,2007-05-07
667,Søren Egge Rasmussen,Enhedslisten,1,2005-12-12,2022-10-03
668,Naser Khader,Det Konservative Folkeparti,6,2009-03-18,2021-08-18
668,Naser Khader,Det Radikale Venstre,1,2002-10-01,2007-05-08
668,Naser Khader,Liberal Alliance,4,2008-08-28,2009-01-04
668,Naser Khader,Ny Alliance,3,2007-07-10,2008-08-27
668,Naser Khader,Uden for folketingsgrupperne - Naser Khader,2,2007-05-09,2007-07-09
668,Naser Khader,Uden for folketingsgrupperne - Naser Khader,5,2009-01-05,2009-03-17
668,Naser Khader,Uden for folketingsgrupperne - Naser Khader,7,2021-08-19,2022-10-03
669,Frank Jensen,Socialdemokratiet,1,1987-10-06,2003-10-06
670,Lars Emil Johansen,Siumut,1,2002-10-01,2010-10-04
671,Niels Helveg Petersen,Det Radikale Venstre,1,1967-10-03,2010-10-04
671,Niels Helveg Petersen,Radikale Venstre,2,2010-10-05,
672,Kuupik Kleist,Inuit Ataqatigiit,1,2001-11-20,2003-10-06
675,Hanne Severinsen,"Venstre, Danmarks Liberale Parti",1,1984-10-02,2003-10-06
676,Søren Krarup,Dansk Folkeparti,1,2002-10-01,2010-10-04
677,Jesper Langballe,Dansk Folkeparti,1,2002-10-01,2010-10-04
678,Klaus Hækkerup (udpeget af S),Socialdemokratiet,1,1988-10-04,2010-10-04
679,Per Kaalund,Socialdemokratiet,1,1994-10-04,2003-10-06
680,Morten Helveg Petersen,Det Radikale Venstre,1,1998-10-06,2008-10-06
725,Preben Rudiengaard,"Venstre, Danmarks Liberale Parti",1,1998-03-11,2010-10-04
794,Lene Garsdal,Socialistisk Folkeparti,1,2001-10-01,2003-10-06
801,Lene Hansen,Socialdemokratiet,1,2007-11-13,2009-10-05
856,Line Barfod,Enhedslisten,1,2002-10-01,2010-10-04
918,Lisbeth Petersen,"Venstre, Danmarks Liberale Parti",1,2002-10-01,2003-10-06
920,Lise Hækkerup,Socialdemokratiet,1,1991-10-01,2004-11-10
951,Lissa Mathiasen,Socialdemokratiet,1,1984-01-10,2003-10-06
1023,Lone Møller (udpeget af S),Socialdemokratiet,1,1987-10-06,2010-10-04
1039,Lotte Bundsgaard,Socialdemokratiet,1,1998-10-06,2003-10-06
1044,Lotte Thiim Bertelsen,Socialistisk Folkeparti,1,2006-10-05,
1047,Louise Frevert,Dansk Folkeparti,1,2002-10-01,2007-05-08
1047,Louise Frevert,Uden for folketingsgrupperne - Louise Frevert,2,2007-05-09,
1067,Lykke Roed,Dansk Folkeparti,1,2004-10-19,
1085,Majbrit Berlau,Enhedslisten,1,2005-03-31,2005-10-12
1087,Malene Søgaard-Andersen,Socialistisk Folkeparti,1,2010-10-14,
1090,Malou Aamund,Ny Alliance,1,2007-11-13,2008-02-06
1090,Malou Aamund,"Venstre, Danmarks Liberale Parti",2,2008-02-07,2010-10-04
1094,Margot Torp,Socialdemokratiet,1,1998-10-06,2004-07-07
1115,Marianne Pedersen,"Venstre, Danmarks Liberale Parti",1,2002-10-01,2003-10-06
1116,Marianne Saxtoft,Det Radikale Venstre,1,2006-01-23,2007-01-21
1121,Marie Fugl,Socialistisk Folkeparti,1,2005-10-27,2007-05-07
1124,Marion Pedersen,"Venstre, Danmarks Liberale Parti",1,2004-10-19,2010-10-04
1146,Marlene Harpsøe,Danmarksdemokraterne – Inger Støjberg,2,2022-11-01,2025-10-06
1146,Marlene Harpsøe,Dansk Folkeparti,1,2007-11-13,2022-10-31
1162,Meta Fuglsang,Socialistisk Folkeparti,1,2009-02-02,2012-01-16
