aktørid,politician,party
1121,Marie Fugl,Socialistisk Folkeparti
1085,Majbrit Berlau,Enhedslisten
3997,Tina Bostrup,Radikale Venstre
1473,Sidsel Homann,Socialistisk Folkeparti
667,Søren Egge Rasmussen,Enhedslisten
3994,Jesper Kinch-Jensen,Socialdemokratiet
3998,Thomas Krog,Socialistisk Folkeparti
1183,Michael Thomsen,Socialistisk Folkeparti
1474,Sidsel Leth Svensson,Det Konservative Folkeparti
119,Dennis Flydtkjær,Danmarksdemokraterne
3996,Henrik Fruergaard,Venstre
134,Christian Friis Bach,Venstre
3995,Egil Møller,Dansk Folkeparti
3993,Grethe H. Nielsen,Socialdemokratiet
158,Eigil Andersen,Socialistisk Folkeparti
85,Özlem Sara Cekic,Socialistisk Folkeparti
303,Anita Christensen,Dansk Folkeparti
98,René Christensen,Dansk Folkeparti
184,Lennart Damsbo-Andersen,Socialdemokratiet
121,Karina Lorentzen Dehnhardt,Socialistisk Folkeparti
120,Benny Engelbrecht,Socialdemokratiet
1146,Marlene Harpsøe,Danmarksdemokraterne
273,Per Husted,Socialdemokratiet
272,Ole Hækkerup,Socialdemokratiet
1454,Rasmus Jarlov,Det Konservative Folkeparti
260,Leif Lahn Jensen,Socialdemokratiet
201,Thomas Jensen,Socialdemokratiet
1502,Karl H. Bornhøft,Socialistisk Folkeparti
1362,Per Bisgaard,Venstre
1619,Yildiz Akdogan,Socialdemokratiet
4965,Hanne Agersnap (udpeget af SF),Socialistisk Folkeparti
362,Vivi Kier,Det Konservative Folkeparti
38,Astrid Krag,Socialdemokratiet
24,Karsten Lauritzen,Venstre
4957,Tage Leegaard,Det Konservative Folkeparti
4515,Jørgen S. Lundsgaard,Det Konservative Folkeparti
130,Sophie Løhde,Venstre
1410,Peter Madsen,Venstre
224,Flemming Møller Mortensen,Socialdemokratiet
297,Maja Panduro (udpeget af S),Socialdemokratiet
4956,Ib Poulsen,Dansk Folkeparti
1358,Julie Rademacher,Socialdemokratiet
81,Mads Rørvig,Venstre
187,Julie Skovsby,Socialdemokratiet
179,Hans Christian Thoning,Venstre
1090,Malou Aamund,Venstre
223,Henrik Høegh,Venstre
10691,Kurt Scheelsbeck,Det Konservative Folkeparti
1413,Peter Westermann,Socialistisk Folkeparti
1162,Meta Fuglsang,Socialistisk Folkeparti
221,Pia Adelsteen,Dansk Folkeparti
5182,Anne Marie Geisler Andersen,Radikale Venstre
152,Ida Auken,Socialdemokratiet
50,Liselott Blixt,Uden for folketingsgrupperne
155,Villum Christensen,Liberal Alliance
205,Jonas Dahl,Socialistisk Folkeparti
92,Carsten Hansen,Socialdemokratiet
288,Torben Hansen (udpeget af S),Socialdemokratiet
246,Orla Hav,Socialdemokratiet
6689,Juliane Henningsen Heilmann,Inuit Ataqatigiit
67,Nick Hækkerup,Socialdemokratiet
199,Karsten Hønge,Socialistisk Folkeparti
154,Mogens Jensen,Socialdemokratiet
180,Peter Juel-Jensen,Venstre
247,Edmund Joensen,Sambandsflokkurin
352,Henrik Dam Kristensen,Socialdemokratiet
96,Mike Legarth,Det Konservative Folkeparti
97,Jesper Petersen,Socialdemokratiet
4969,Jørgen Poulsen,Radikale Venstre
148,Anders Samuelsen,Liberal Alliance
147,Johanne Schmidt-Nielsen,Enhedslisten
72,Karen Ellemann,Venstre
10707,Erikanell Asmuss Lorentsen,Radikale Venstre
1087,Malene Søgaard-Andersen,Socialistisk Folkeparti
11586,Bilal Inekci,Socialistisk Folkeparti
11412,Anna Kirsten Olesen,Socialdemokratiet
11585,Jens Arne Hedegaard,Venstre
11584,Daniel Rugholm,Det Konservative Folkeparti
93,Louise Elholm,Venstre
109,Trine Pertou Mach,Enhedslisten
231,Manu Sareen,Radikale Venstre
1258,Nanna Westerby,Socialistisk Folkeparti
11583,Kenneth Kristensen Berth,Dansk Folkeparti
185,Nadeem Farooq,Radikale Venstre
1269,Niels Høiby,Liberal Alliance
5132,Flemming Bonne,Socialistisk Folkeparti
294,Doris Jakobsen,Siumut
4968,Knud Kristensen,Det Konservative Folkeparti
10702,Helle Dam,Socialdemokratiet
10705,Bente Kronborg Holst,Dansk Folkeparti
8917,Thomas Horn,Socialdemokratiet
1375,Per Løkken,Det Konservative Folkeparti
4971,Jane Alrø Sørensen,Socialistisk Folkeparti
6688,Henrik Rasmussen,Det Konservative Folkeparti
10690,Steen Konradsen,Det Konservative Folkeparti
188,Sanne Rubinke,Socialistisk Folkeparti
10706,Jette Plesner Dali,Dansk Folkeparti
