voting_id,party,politician,vote_type,Period
9885,Socialdemokratiet,Trine Bramsen,1,71
9885,Danmarksdemokraterne,Dennis Flydtkjær,1,71
9885,Socialdemokratiet,Benny Engelbrecht,1,71
9885,Venstre,Hans Christian Schmidt,1,71
9885,Venstre,Preben Bang Henriksen,1,71
9885,Venstre,Sophie Løhde,1,71
9885,Venstre,Christian Friis Bach,1,71
9885,Socialdemokratiet,Ida Auken,1,71
9885,Socialdemokratiet,Mogens Jensen,1,71
9885,Danmarksdemokraterne,Karina Adsbøl,1,71
9885,Venstre,Hans Andersen,1,71
9885,Venstre,Anni Matthiesen,1,71
9885,Venstre,Michael Aastrup Jensen,1,71
9885,Venstre,Peter Juel-Jensen,1,71
9885,Det Konservative Folkeparti,Mai Mercado,1,71
9885,Socialdemokratiet,Thomas Jensen,1,71
9885,Socialdemokratiet,Simon Kollerup,1,71
9885,Socialdemokratiet,Jens Joel,1,71
9885,Socialistisk Folkeparti,Lisbeth Bech-Nielsen,1,71
9885,Socialdemokratiet,Flemming Møller Mortensen,1,71
9885,Socialdemokratiet,Magnus Heunicke,1,71
9885,Socialdemokratiet,Bjarne Laustsen,1,71
9885,Socialdemokratiet,Leif Lahn Jensen,1,71
9885,Socialdemokratiet,Rasmus Prehn,1,71
9885,Socialdemokratiet,Per Husted,1,71
9885,Socialdemokratiet,Karin Gaardsted,1,71
9885,Enhedslisten,Søren Egge Rasmussen,4,71
9885,Det Konservative Folkeparti,Rasmus Jarlov,1,71
9885,Enhedslisten,Jette Gottlieb,4,71
9885,Det Konservative Folkeparti,Per Larsen,1,71
9885,Socialdemokratiet,Lea Wermelin,1,71
9885,Dansk Folkeparti,Peter Kofod,2,71
9885,Socialdemokratiet,Mattias Tesfaye,1,71
9885,Danmarksdemokraterne,Lise Bech,1,71
9885,Socialdemokratiet,Peter Hummelgaard,1,71
9885,Socialdemokratiet,Malte Larsen,1,71
9885,Socialdemokratiet,Anne Paulin,1,71
9885,Socialistisk Folkeparti,Kirsten Normann Andersen,1,71
9885,Det Konservative Folkeparti,Brigitte Klintskov Jerkel,1,71
9885,Venstre,Kim Valentin,1,71
9885,Venstre,Christoffer Aagaard Melson,1,71
9885,Venstre,Heidi Bank,1,71
9885,Venstre,Marie Bjerre,1,71
9886,Dansk Folkeparti,Alex Ahrendtsen,1,71
9886,Danmarksdemokraterne,Søren Espersen,1,71
9886,Venstre,Erling Bonnesen,2,71
9886,Socialdemokratiet,Mette Reissmann,2,71
9886,Venstre,Torsten Schack Pedersen,2,71
9886,Danmarksdemokraterne,Hans Kristian Skibby,1,71
9886,Venstre,Louise Elholm,2,71
9886,Socialdemokratiet,Jesper Petersen,2,71
9886,Liberal Alliance,Ole Birk Olesen,2,71
9886,Venstre,Jan E. Jørgensen,2,71
9886,Enhedslisten,Trine Pertou Mach,2,71
9886,Radikale Venstre,Lotte Rod,2,71
9886,Danmarksdemokraterne,Jens Henrik Thulesen Dahl,1,71
9886,Socialdemokratiet,Trine Bramsen,2,71
9886,Danmarksdemokraterne,Dennis Flydtkjær,1,71
9886,Socialdemokratiet,Benny Engelbrecht,2,71
9886,Venstre,Hans Christian Schmidt,2,71
9886,Venstre,Preben Bang Henriksen,2,71
9886,Venstre,Sophie Løhde,2,71
9886,Venstre,Christian Friis Bach,2,71
9886,Socialdemokratiet,Ida Auken,2,71
9886,Socialdemokratiet,Mogens Jensen,2,71
9886,Danmarksdemokraterne,Karina Adsbøl,1,71
9886,Venstre,Hans Andersen,2,71
9886,Venstre,Anni Matthiesen,2,71
9886,Venstre,Michael Aastrup Jensen,2,71
9886,Venstre,Peter Juel-Jensen,2,71
9886,Det Konservative Folkeparti,Mai Mercado,2,71
9886,Socialdemokratiet,Thomas Jensen,2,71
9886,Socialdemokratiet,Simon Kollerup,2,71
9886,Socialdemokratiet,Jens Joel,2,71
9886,Socialistisk Folkeparti,Lisbeth Bech-Nielsen,2,71
9886,Socialdemokratiet,Flemming Møller Mortensen,2,71
9886,Socialdemokratiet,Magnus Heunicke,2,71
9886,Socialdemokratiet,Bjarne Laustsen,2,71
9886,Socialdemokratiet,Leif Lahn Jensen,2,71
9886,Socialdemokratiet,Rasmus Prehn,2,71
9886,Socialdemokratiet,Per Husted,2,71
9886,Socialdemokratiet,Karin Gaardsted,2,71
9886,Enhedslisten,Søren Egge Rasmussen,2,71
9886,Det Konservative Folkeparti,Rasmus Jarlov,2,71
9886,Enhedslisten,Jette Gottlieb,2,71
9886,Det Konservative Folkeparti,Per Larsen,2,71
9886,Socialdemokratiet,Lea Wermelin,2,71
9886,Dansk Folkeparti,Peter Kofod,1,71
9886,Socialdemokratiet,Mattias Tesfaye,2,71
9886,Danmarksdemokraterne,Lise Bech,1,71
9886,Socialdemokratiet,Peter Hummelgaard,2,71
9886,Socialdemokratiet,Malte Larsen,2,71
9886,Socialdemokratiet,Anne Paulin,2,71
9886,Socialistisk Folkeparti,Kirsten Normann Andersen,2,71
9886,Det Konservative Folkeparti,Brigitte Klintskov Jerkel,2,71
9886,Venstre,Kim Valentin,2,71
9886,Venstre,Christoffer Aagaard Melson,2,71
9886,Venstre,Heidi Bank,2,71
9886,Venstre,Marie Bjerre,2,71
9887,Dansk Folkeparti,Alex Ahrendtsen,2,71
9887,Danmarksdemokraterne,Søren Espersen,2,71
9887,Venstre,Erling Bonnesen,2,71
9887,Socialdemokratiet,Mette Reissmann,2,71
9887,Venstre,Torsten Schack Pedersen,2,71
9887,Danmarksdemokraterne,Hans Kristian Skibby,2,71
9887,Venstre,Louise Elholm,2,71
9887,Socialdemokratiet,Jesper Petersen,2,71
9887,Liberal Alliance,Ole Birk Olesen,2,71
9887,Venstre,Jan E. Jørgensen,2,71
9887,Enhedslisten,Trine Pertou Mach,1,71
9887,Radikale Venstre,Lotte Rod,1,71
9887,Danmarksdemokraterne,Jens Henrik Thulesen Dahl,2,71
9887,Socialdemokratiet,Trine Bramsen,2,71
9887,Danmarksdemokraterne,Dennis Flydtkjær,2,71
9887,Socialdemokratiet,Benny Engelbrecht,2,71
9887,Venstre,Hans Christian Schmidt,2,71
9887,Venstre,Preben Bang Henriksen,2,71
9887,Venstre,Sophie Løhde,2,71
9887,Venstre,Christian Friis Bach,1,71
9887,Socialdemokratiet,Ida Auken,2,71
9887,Socialdemokratiet,Mogens Jensen,2,71
9887,Danmarksdemokraterne,Karina Adsbøl,2,71
9887,Venstre,Hans Andersen,2,71
9887,Venstre,Anni Matthiesen,2,71
9887,Venstre,Michael Aastrup Jensen,2,71
9887,Venstre,Peter Juel-Jensen,2,71
9887,Det Konservative Folkeparti,Mai Mercado,1,71
9887,Socialdemokratiet,Thomas Jensen,2,71
9887,Socialdemokratiet,Simon Kollerup,2,71
9887,Socialdemokratiet,Jens Joel,2,71
9887,Socialistisk Folkeparti,Lisbeth Bech-Nielsen,1,71
9887,Socialdemokratiet,Morten Bødskov,2,71
9887,Socialdemokratiet,Flemming Møller Mortensen,2,71
9887,Socialdemokratiet,Bjarne Laustsen,2,71
9887,Socialdemokratiet,Leif Lahn Jensen,2,71
9887,Socialdemokratiet,Rasmus Prehn,2,71
9887,Socialdemokratiet,Per Husted,2,71
9887,Socialdemokratiet,Karin Gaardsted,2,71
